"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
722,2,27,"MIY-KAI-01"
723,3,25,"MIY-KAI-01"
724,4,27,"MIY-KAI-01"
725,5,29,"MIY-KAI-01"
726,6,28,"MIY-KAI-01"
727,7,30,"MIY-KAI-01"
728,8,32,"MIY-KAI-01"
729,9,28,"MIY-KAI-01"
730,10,29,"MIY-KAI-01"
731,11,31,"MIY-KAI-01"
732,12,27,"MIY-KAI-01"
733,13,27,"MIY-KAI-01"
734,14,29,"MIY-KAI-01"
735,15,26,"MIY-KAI-01"
736,16,25,"MIY-KAI-01"
737,17,22,"MIY-KAI-01"
738,18,24,"MIY-KAI-01"
739,19,21,"MIY-KAI-01"
740,20,23,"MIY-KAI-01"
741,21,20,"MIY-KAI-01"
742,22,21,"MIY-KAI-01"
743,23,20,"MIY-KAI-01"
744,24,21,"MIY-KAI-01"
745,25,19,"MIY-KAI-01"
746,26,19,"MIY-KAI-01"
747,27,18,"MIY-KAI-01"
748,28,19,"MIY-KAI-01"
749,29,17,"MIY-KAI-01"
750,30,17,"MIY-KAI-01"
751,31,16,"MIY-KAI-01"
752,32,16,"MIY-KAI-01"
753,33,16,"MIY-KAI-01"
754,34,16,"MIY-KAI-01"
755,35,13,"MIY-KAI-01"
756,36,15,"MIY-KAI-01"
757,37,14,"MIY-KAI-01"
758,38,13,"MIY-KAI-01"
759,39,13,"MIY-KAI-01"
760,40,12,"MIY-KAI-01"
761,41,12,"MIY-KAI-01"
762,42,10,"MIY-KAI-01"
763,43,11,"MIY-KAI-01"
764,44,11,"MIY-KAI-01"
765,45,10,"MIY-KAI-01"
766,46,10,"MIY-KAI-01"
767,47,10,"MIY-KAI-01"
768,48,9,"MIY-KAI-01"
769,49,8,"MIY-KAI-01"
770,50,8,"MIY-KAI-01"
771,51,8,"MIY-KAI-01"
772,52,8,"MIY-KAI-01"
773,53,8,"MIY-KAI-01"
774,54,8,"MIY-KAI-01"
775,55,8,"MIY-KAI-01"
776,56,7,"MIY-KAI-01"
777,57,6,"MIY-KAI-01"
778,58,6,"MIY-KAI-01"
779,59,6,"MIY-KAI-01"
780,60,6,"MIY-KAI-01"
781,1,43,"MIY-KOH-01"
782,2,29,"MIY-KOH-01"
783,3,26,"MIY-KOH-01"
784,4,21,"MIY-KOH-01"
785,5,20,"MIY-KOH-01"
786,6,18,"MIY-KOH-01"
787,7,15,"MIY-KOH-01"
788,8,15,"MIY-KOH-01"
789,9,13,"MIY-KOH-01"
790,10,11,"MIY-KOH-01"
791,11,12,"MIY-KOH-01"
792,12,10,"MIY-KOH-01"
